4.9828,7.6,1.56348
4.82645,4.88889,1.39149
5.12351,5.6,1.4853
5.02971,5.86667,1.87617
5.06098,5.37778,1.798
4.99844,5.06667,1.76673
5.06098,4.26667,1.61038
5.07661,6,1.68856
4.82645,4,1.71982
4.95153,6,1.86054
5.01407,5.86667,2.01689
4.79518,5.11111,1.92308
5.07661,6.13333,1.71982
4.9359,5.2,1.86054
4.88899,6,1.89181
4.9359,4.84444,2.06379
5.01407,5.73333,1.82927
5.07661,3.73333,1.70419
5.02971,6,2.03252
4.90463,5.24444,2.03252
4.90463,6,2.17323
4.88899,4.75556,2.06379
5.06098,5.24444,1.73546
4.96717,5.2,1.73546
4.9359,5.51111,1.73546
5.23296,4.62222,1.798
4.9359,5.46667,1.92308
4.95153,5.73333,2.06379
4.82645,5.33333,2.00125
4.84209,4.66667,2.03252
4.82645,5.06667,1.798
4.88899,5.33333,1.71982
4.76391,3.91111,1.98562
4.68574,5.77778,1.70419
4.88899,5.2,2.07942
5.01407,5.51111,1.8449
5.01407,4.75556,1.75109
4.99844,5.55556,1.798
4.92026,4.35556,1.81363
5.04534,6.31111,1.68856
4.92026,4.35556,2.25141
4.87336,5.64444,1.86054
4.76391,5.28889,2.14196
5.02971,5.33333,1.53221
4.92026,4.22222,1.73546
4.87336,4.8,1.798
4.92026,5.42222,1.53221
4.87336,4.26667,1.50094
4.9359,4.93333,1.68856
4.74828,4.13333,1.82927
4.84209,5.55556,1.68856
5.17042,5.37778,1.8449
5.18605,4.88889,1.39149
4.9828,3.28889,1.54784
5.20169,3.68889,1.40713
5.07661,3.42222,1.50094
