CI
0.7424051
0.7187076
0.7710411
0.7161574
0.7611966
0.7738396
0.7148871
0.7207016
0.7102751
0.7593058
0.7286177
0.7345590
0.7056966
0.7495037
0.7443495
0.7065665
0.7368799
0.7347419
0.7826016
0.7584111
0.7166635
0.7126527
0.7777022
0.7390607
0.7415660
0.6691539
0.6587297
0.7851427
0.8190505
0.7507443
0.7431253
0.7368653
0.7791459
0.7447491
0.7220093
0.7120867
0.7453304
0.7134265
0.7489723
0.7220281
0.7393639
0.7011867
0.7203739
0.7357381
0.7560076
0.7146281
0.7411234
0.6573127
0.7226894
0.6893641
0.6974852
0.7266291
0.6936507
0.7362259
0.7040843
0.6703924
0.7414366
0.7308645
0.7432304
0.7053994
0.7025653
0.7351028
0.7341899
0.7018833
0.7100123
0.7165325
0.7756652
0.7038797
0.7514182
0.7395692
0.7626594
0.7253822
0.7087126
0.7105519
0.7139771
0.7633640
0.7904985
0.7516793
0.7351981
0.7280854
0.7122221
0.7609717
0.8195689
0.6788925
0.7581762
0.7289585
0.7669948
0.7372344
0.6900559
0.7474538
0.7357941
0.8041076
0.6705748
0.7223521
0.7832836
0.7370119
0.6955282
0.7641684
0.7046005
0.7727687
0.7575619
0.6785621
0.7573624
0.6660196
0.7535886
0.7214007
0.7448234
0.6617924
0.6869269
0.7135252
0.7248237
0.7158373
0.7078865
0.7395941
0.7108103
0.7677666
0.7416451
0.6913719
0.7219818
0.7187358
0.7169930
0.7750723
0.7012213
0.6607842
0.7389425
0.7095264
0.7414491
0.7088809
0.7303593
0.7330006
0.7088942
0.7598531
0.7061126
0.7086992
0.7266150
0.6895529
0.6918739
0.7416139
0.7288319
0.7062618
0.7123462
0.6349215
0.7461619
0.6724554
0.7522559
0.7238785
0.7417603
0.7253258
0.6910553
0.7172791
0.7481310
0.7959189
0.7774572
0.7778238
0.6836828
0.7039293
0.7024648
0.6798944
0.7460639
0.7016767
0.7227782
0.7381048
0.7052225
0.6761318
0.6935209
0.7693319
0.6672591
0.7067115
0.7670433
0.7136488
0.7875727
0.7658920
0.6980083
0.7024160
0.7673607
0.7249972
0.6908558
0.7603945
0.7203502
0.6867709
0.6880660
0.7393423
0.7464308
0.7351831
0.7266060
0.6847022
0.7249608
0.7511839
0.7514327
0.7067992
0.8050766
0.6781524
0.6995368
0.6662999
0.7278862
0.7398682
0.7116738
0.7181334
0.7663496
0.7033563
0.6870932
0.7824145
0.8152523
0.7051022
0.7230364
0.7432305
0.6778692
0.7374726
0.7273473
0.7226434
0.6991784
0.7208386
0.7809215
0.7883289
0.7644127
0.7402479
0.7360015
0.7962085
0.7017910
0.7174226
0.8346484
0.7364620
0.7212302
0.7014657
0.6908831
0.7217547
0.7306530
0.7875807
0.7177513
0.7323826
0.7235484
0.7118725
0.7212067
0.7179224
0.7739849
0.6958465
0.6542796
0.7094562
0.7889399
0.7486427
0.7580692
0.7010606
0.7175823
0.7407323
0.7119465
0.7279531
0.6955101
0.6994117
0.6884165
0.7491167
0.6939394
0.7508621
0.7554428
0.7552718
0.7549165
0.7479105
0.6793267
0.7493363
0.7756035
0.6523875
0.7860112
0.7106060
0.7702349
0.6909052
0.7742407
0.6875231
0.7161493
0.7308722
0.7836073
0.7163662
0.8073740
0.7547476
0.7857075
0.7076403
0.7372947
0.7759811
0.7357787
