843417,8.19596,2.26579,1.61642
844085,8.53271,2.06316,1.23477
844419,8.12861,2.89211,1.32457
845088,8.10616,1.69474,1.21232
845422,8.46536,2.33947,1.05516
845756,8.42046,1.49211,1.43682
846090,8.30821,1.28947,1.01026
846424,8.21841,1.52895,0.942912
846758,8.93682,1.73158,1.23477
847092,8.01636,1.12368,1.03271
847426,8.28576,2.00789,1.30212
847760,8.30821,2.00789,1.43682
848094,8.24086,2.24737,1.68377
848428,8.39801,1.86053,1.32457
848762,8.42046,1.54737,1.72867
849096,8.21841,2.06316,1.61642
849430,8.51026,1.63947,1.39192
849764,8.51026,2.54211,1.30212
850766,8.48781,1.73158,1.66132
851100,8.44291,1.49211,1.25722
851435,8.62251,2.67105,1.16742
851769,8.42046,1.45526,1.18987
852103,8.55516,1.16053,1.23477
852437,9.49808,1.08684,1.16742
852771,8.21841,1.52895,0.875561
853105,8.30821,1.30789,1.23477
853439,8.55516,2.28421,1.43682
853773,8.21841,1.97105,1.68377
854107,9.25112,1.01316,1.03271
854441,8.51026,1.34474,1.43682
854775,9.04907,0.902632,0.628608
855443,8.57761,2.85526,1.72867
855777,8.30821,1.27105,0.718409
856111,8.21841,1.67632,1.03271
856445,8.30821,1.98947,1.66132
856779,8.33066,1.91579,1.23477
857447,8.53271,2.26579,1.27967
857781,8.73477,0.902632,1.14496
858115,8.89192,0.939474,0.718409
858450,8.08371,2.70789,1.81847
