210484,4.82842,-1.90667,1.99808
211154,4.80597,-1.77333,1.54907
211489,4.67126,-1.54667,1.45927
211825,4.91822,-1.77333,1.95318
212830,4.67126,-1.56,1.41437
213165,4.51411,-2.06667,1.81847
213500,4.49166,-1.65333,2.04298
213835,4.46921,-1.21333,1.52662
214170,5.12027,-1.21333,1.32457
214505,4.94067,-1.44,1.68377
214840,4.69371,-1.72,1.48172
215175,4.94067,-1.64,1.61642
215845,4.60391,-1.34667,1.72867
216180,4.64881,-2.13333,1.68377
216515,4.62636,-1.8,1.54907
216850,4.73861,-1.70667,1.57152
217185,4.76106,-1.24,1.84092
217520,4.80597,-1.90667,1.52662
217855,4.51411,-1.76,1.50417
218190,4.60391,-1.16,1.48172
218526,4.71616,-1.37333,1.66132
218861,4.46921,-1.37333,1.70622
219866,5.07537,-1,1.21232
220201,4.82842,-1.68,1.14496
220536,4.71616,-1.44,1.63887
221206,4.96312,-1.2,1.48172
221541,4.85087,-1.25333,1.81847
221876,4.80597,-1.25333,1.41437
222546,4.82842,-1.25333,1.70622
222881,4.89577,-0.933333,1.21232
224221,4.35696,-1.62667,2.06543
224556,4.71616,-1.16,1.77357
224891,4.73861,-1.22667,1.61642
225227,4.69371,-1.4,1.57152
225562,4.58146,-1.49333,1.50417
225897,4.55901,-1.6,1.50417
226232,4.53656,-1.52,1.57152
226567,4.58146,-1.64,1.90827
