7.53127,0.00106667,1.24765
7.68449,0.00192,1.42276
8.20982,0.00192,1.59787
8.56004,0.00167111,1.1601
8.45059,0.00227556,1.20388
8.77892,0.00231111,1.31332
8.20982,0.00220444,1.5541
8.77892,0.0016,1.22577
8.20982,0.00220444,1.51032
8.01282,0.00192,1.70732
7.94715,0.0016,1.77298
8.38493,0.00245333,1.70732
8.51626,0.00270222,1.86054
8.36304,0.00209778,1.90432
8.36304,0.00348444,1.70732
8.34115,0.00305778,1.99187
8.12226,0.00252444,2.03565
8.45059,0.00238222,2.18887
8.12226,0.00181333,1.90432
8.45059,0.00256,2.16698
8.6257,0.00270222,2.23265
8.66948,0.00220444,2.27642
8.88837,0.00256,2.16698
8.40682,0.00184889,1.9262
8.53815,0.00199111,1.64165
8.45059,0.00206222,2.18887
8.66948,0.00238222,2.10131
8.45059,0.00192,2.25453
8.20982,0.00181333,2.45153
8.73515,0.00309333,2.03565
0,0,0
